id,name,contained_in,is_leaf
B2-1,Obst & Gemüse,[],False
B2-14,Trockenfrüchte & Nüsse,['B2-1'],True
B2-11,Obst,['B2-1'],False
B2-111,"Äpfel, Birnen & Trauben","['B2-1', 'B2-11']",True
B2-112,Exotisches Obst,"['B2-1', 'B2-11']",True
B2-113,Steinobst & Beeren,"['B2-1', 'B2-11']",True
B2-114,Zitrusfrüchte,"['B2-1', 'B2-11']",True
B2-12,Gemüse,['B2-1'],False
B2-121,Gartengemüse,"['B2-1', 'B2-12']",True
B2-122,Zwiebel und Kartoffeln,"['B2-1', 'B2-12']",True
B2-123,Kräuter,"['B2-1', 'B2-12']",True
B2-13,Salate,['B2-1'],False
B2-131,Salate,"['B2-1', 'B2-13']",True
B2-132,Salate verpackt,"['B2-1', 'B2-13']",True
B2-2,Brot & Gebäck,[],False
B2-23,Knäckebrot & Zwieback,['B2-2'],True
B2-25,Semmelwürfel & Brösel,['B2-2'],True
B2-21,Aufbackbrötchen & Toast,['B2-2'],False
B2-211,Aufbackbrötchen & -baguettes,"['B2-2', 'B2-21']",True
B2-212,Toastbrot,"['B2-2', 'B2-21']",True
B2-22,Brot & Gebäck,['B2-2'],False
B2-221,Brot verpackt,"['B2-2', 'B2-22']",True
B2-222,Ofenfrisches Brot,"['B2-2', 'B2-22']",True
B2-223,Ofenfrisches Gebäck,"['B2-2', 'B2-22']",True
B2-24,Kuchen & Co.,['B2-2'],False
B2-241,Frischer Plunder & Strudel,"['B2-2', 'B2-24']",True
B2-242,Frischer Kuchen,"['B2-2', 'B2-24']",True
B2-243,"Kuchen, Strudel & Rouladen","['B2-2', 'B2-24']",True
B2-244,"Striezel, Brioche & Croissants","['B2-2', 'B2-24']",True
B2-245,"Golatschen, Muffins & Co.","['B2-2', 'B2-24']",True
B2-246,Krapfen & Brandteiggebäck,"['B2-2', 'B2-24']",True
B2-247,Torten,"['B2-2', 'B2-24']",True
B2-3,Getränke,[],False
B2-31,Alkoholfreie Getränke,['B2-3'],False
B2-311,Eiskaffee,"['B2-3', 'B2-31']",True
B2-312,Eistee,"['B2-3', 'B2-31']",True
B2-313,Energydrinks,"['B2-3', 'B2-31']",True
B2-314,Frucht- & Gemüsesäfte,"['B2-3', 'B2-31']",True
B2-315,Kindergetränke,"['B2-3', 'B2-31']",True
B2-316,Limonaden,"['B2-3', 'B2-31']",True
B2-317,Mineralwasser,"['B2-3', 'B2-31']",True
B2-318,Mineralwasser mit Geschmack,"['B2-3', 'B2-31']",True
B2-319,Sirupe,"['B2-3', 'B2-31']",True
B2-31A,Smoothies & Fresh Juice,"['B2-3', 'B2-31']",True
B2-32,Bier & Radler,['B2-3'],False
B2-321,Alkoholfreies Bier,"['B2-3', 'B2-32']",True
B2-322,Dosenbier,"['B2-3', 'B2-32']",True
B2-323,Flaschenbier,"['B2-3', 'B2-32']",True
B2-324,Radler,"['B2-3', 'B2-32']",True
B2-33,"Kaffee, Tee & Co.",['B2-3'],False
B2-331,Kaffee,"['B2-3', 'B2-33']",True
B2-332,Kakao,"['B2-3', 'B2-33']",True
B2-333,Tee,"['B2-3', 'B2-33']",True
B2-34,Sekt & Champagner,['B2-3'],False
B2-341,Champagner,"['B2-3', 'B2-34']",True
B2-342,Prosecco & Frizzante,"['B2-3', 'B2-34']",True
B2-343,Sekt,"['B2-3', 'B2-34']",True
B2-344,Cider,"['B2-3', 'B2-34']",True
B2-35,Spirituosen,['B2-3'],False
B2-351,Schnaps & Likör,"['B2-3', 'B2-35']",True
B2-352,Gin,"['B2-3', 'B2-35']",True
B2-353,Aperitif & Digestif,"['B2-3', 'B2-35']",True
B2-354,Cognac & Whiskey,"['B2-3', 'B2-35']",True
B2-355,Vodka,"['B2-3', 'B2-35']",True
B2-356,Rum,"['B2-3', 'B2-35']",True
B2-357,Alkopops,"['B2-3', 'B2-35']",True
B2-358,Tequila,"['B2-3', 'B2-35']",True
B2-359,Alkoholfreie Spirituosen,"['B2-3', 'B2-35']",True
B2-36,Wein,['B2-3'],False
B2-361,Weißwein,"['B2-3', 'B2-36']",True
B2-362,Rotwein & Rose,"['B2-3', 'B2-36']",True
B2-363,Dessertwein,"['B2-3', 'B2-36']",True
B2-37,Mineralwasser,['B2-3'],False
B2-370,still,"['B2-3', 'B2-37']",True
B2-371,mild,"['B2-3', 'B2-37']",True
B2-372,prickelnd,"['B2-3', 'B2-37']",True
B2-4,Kühlwaren,[],False
B2-42,Eier,['B2-4'],True
B2-47,"Blätterteig, Strudelteig",['B2-4'],True
B2-4A,Fisch,['B2-4'],True
B2-4C,Tofu,['B2-4'],True
B2-41,Schnelle Küche,['B2-4'],False
B2-411,Menüschalen,"['B2-4', 'B2-41']",True
B2-412,Salate,"['B2-4', 'B2-41']",True
B2-413,Süßes,"['B2-4', 'B2-41']",True
B2-414,Teigwaren & Beilagen,"['B2-4', 'B2-41']",True
B2-415,Burger,"['B2-4', 'B2-41']",True
B2-43,Fleisch,['B2-4'],False
B2-432,Huhn & Truthahn,"['B2-4', 'B2-43']",True
B2-434,Schweinefleisch,"['B2-4', 'B2-43']",True
B2-435,Rindfleisch,"['B2-4', 'B2-43']",True
B2-44,"Käse, Aufstriche & Salate",['B2-4'],False
B2-441,Aufstriche & Salate,"['B2-4', 'B2-44']",True
B2-442,Aus der Feinkost,"['B2-4', 'B2-44']",True
B2-443,Feta & Mozzarella,"['B2-4', 'B2-44']",True
B2-444,Hart- & Weichkäse am Stück,"['B2-4', 'B2-44']",True
B2-445,Hüttenkäse & Frischkäse,"['B2-4', 'B2-44']",True
B2-446,Käsespezialitäten,"['B2-4', 'B2-44']",True
B2-447,Parmesan & Reibkäse,"['B2-4', 'B2-44']",True
B2-448,Schmelzkäse,"['B2-4', 'B2-44']",True
B2-449,Schnittkäse,"['B2-4', 'B2-44']",True
B2-45,Milchprodukte,['B2-4'],False
B2-451,Butter,"['B2-4', 'B2-45']",True
B2-452,Haltbarmilch & Kondensmilch,"['B2-4', 'B2-45']",True
B2-453,Joghurt,"['B2-4', 'B2-45']",True
B2-455,Margarine & Fette,"['B2-4', 'B2-45']",True
B2-456,Milch,"['B2-4', 'B2-45']",True
B2-457,Milchgetränke,"['B2-4', 'B2-45']",True
B2-458,Milchsnacks,"['B2-4', 'B2-45']",True
B2-459,Pudding & Desserts,"['B2-4', 'B2-45']",True
B2-45A,"Rahm, Obers & Topfen","['B2-4', 'B2-45']",True
B2-45B,Sprühsahne & Kaffeeobers,"['B2-4', 'B2-45']",True
B2-46,Feinkostplatten & Brötchen,['B2-4'],False
B2-461,Belegte Brötchen,"['B2-4', 'B2-46']",True
B2-462,Aufschnittplatten,"['B2-4', 'B2-46']",True
B2-48,"Wurst, Schinken & Speck",['B2-4'],False
B2-481,Aus der Feinkost,"['B2-4', 'B2-48']",True
B2-482,Salami,"['B2-4', 'B2-48']",True
B2-483,"Grammeln, Schmalz & Speck","['B2-4', 'B2-48']",True
B2-484,Schinken,"['B2-4', 'B2-48']",True
B2-48A,Cabanossi,"['B2-4', 'B2-48']",True
B2-485,Wurstspezialitäten,"['B2-4', 'B2-48']",True
B2-486,Streichwurst & Pasteten,"['B2-4', 'B2-48']",True
B2-487,Truthahn und Putenwurst,"['B2-4', 'B2-48']",True
B2-488,Wurst & Stangenwurst,"['B2-4', 'B2-48']",True
B2-489,Würstel,"['B2-4', 'B2-48']",True
B2-49,Feinkost,['B2-4'],False
B2-490,Käse,"['B2-4', 'B2-49']",True
B2-491,Wurst,"['B2-4', 'B2-49']",True
